Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Mapped_Title,FamilySize,TicketPrefix,TicketNumber,TicketNumberLengthGroup,TicketNumberPrefix,Mapped_Sex,AgeGroup,Age_Pclass_Group,FareGroup,FamilySizeGroup,Age_Pclass,family_size_pclass_total,family_size_pclass_survived
0,3,61.0,0,0,6.2375,S,0,1,UNKNOWN,345364,6,6_34,0,60-70,60-70_Pclass_3,0-10,Alone,183.0,324,0.21374045801526717
0,3,30.0,0,0,8.6625,S,1,1,UNKNOWN,315084,6,6_31,1,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,2,7.0,0,2,26.25,S,1,3,F.C.C.,13529,5,5_13,1,<20,<20_Pclass_2,20-30,Small,14.0,78,0.625
1,3,63.0,0,0,9.5875,S,2,1,UNKNOWN,4134,4,4_41,1,60-70,60-70_Pclass_3,0-10,Alone,189.0,324,0.21374045801526717
1,3,20.0,0,0,7.2292,C,0,1,UNKNOWN,2663,4,4_26,0,<20,<20_Pclass_3,0-10,Alone,60.0,324,0.21374045801526717
1,3,35.0,0,2,22.3583,C,2,3,UNKNOWN,2668,4,4_26,1,30-40,30-40_Pclass_3,20-30,Small,105.0,113,0.40217391304347827
0,3,29.0,0,0,9.4833,S,0,1,UNKNOWN,7545,4,4_75,0,20-30,20-30_Pclass_3,0-10,Alone,87.0,324,0.21374045801526717
1,1,36.0,1,2,120.0,S,0,4,UNKNOWN,113760,6,6_11,0,30-40,30-40_Pclass_1,100-200,Small,36.0,101,0.6842105263157895
0,3,30.0,0,0,14.4583,C,0,1,UNKNOWN,2627,4,4_26,0,20-30,20-30_Pclass_3,10-20,Alone,90.0,324,0.21374045801526717
0,3,50.0,0,0,8.05,S,0,1,A/,3594,4,4_35,0,40-50,40-50_Pclass_3,0-10,Alone,150.0,324,0.21374045801526717
0,1,27.0,0,2,211.5,C,0,3,UNKNOWN,113503,6,6_11,0,20-30,20-30_Pclass_1,200+,Small,27.0,101,0.6842105263157895
0,3,30.0,0,0,7.25,S,0,1,C,7076,4,4_70,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,1,33.0,1,0,90.0,Q,1,2,UNKNOWN,19928,5,5_19,1,30-40,30-40_Pclass_1,90-100,Small,33.0,101,0.6842105263157895
0,3,30.0,0,0,7.725,Q,0,1,UNKNOWN,36209,5,5_36,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,21.0,3,1,25.4667,S,1,5,UNKNOWN,4133,4,4_41,1,20-30,20-30_Pclass_3,20-30,Large,63.0,54,0.06818181818181818
0,3,2.0,3,1,21.075,S,3,5,UNKNOWN,349909,6,6_34,0,<20,<20_Pclass_3,20-30,Large,6.0,54,0.06818181818181818
1,2,25.0,1,1,30.0,S,1,3,UNKNOWN,237789,6,6_23,1,20-30,20-30_Pclass_2,30-40,Small,50.0,78,0.625
0,1,51.0,0,1,61.3792,C,0,2,PC,17597,5,5_17,0,50-60,50-60_Pclass_1,60-70,Small,51.0,101,0.6842105263157895
1,2,25.0,0,1,26.0,S,2,2,UNKNOWN,230433,6,6_23,1,20-30,20-30_Pclass_2,20-30,Small,50.0,78,0.625
0,3,30.0,0,0,7.25,S,0,1,A/,34244,5,5_34,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,30.0,0,0,7.8958,S,0,1,UNKNOWN,349215,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,2,24.0,0,0,13.0,S,1,1,UNKNOWN,248747,6,6_24,1,20-30,20-30_Pclass_2,10-20,Alone,48.0,104,0.36470588235294116
0,3,18.0,1,1,20.2125,S,0,3,UNKNOWN,370129,6,6_37,0,<20,<20_Pclass_3,20-30,Small,54.0,113,0.40217391304347827
1,1,30.0,0,0,30.5,S,0,1,UNKNOWN,19988,5,5_19,0,20-30,20-30_Pclass_1,30-40,Alone,30.0,109,0.5365853658536586
0,3,25.0,0,0,7.05,S,0,1,SOTON/OQ,392076,6,6_39,0,20-30,20-30_Pclass_3,0-10,Alone,75.0,324,0.21374045801526717
1,2,24.0,0,2,14.5,S,2,3,UNKNOWN,250649,6,6_25,1,20-30,20-30_Pclass_2,10-20,Small,48.0,78,0.625
0,3,22.0,0,0,7.5208,S,0,1,UNKNOWN,350060,6,6_35,0,20-30,20-30_Pclass_3,0-10,Alone,66.0,324,0.21374045801526717
1,1,0.92,1,2,151.55,S,3,4,UNKNOWN,113781,6,6_11,0,<20,<20_Pclass_1,100-200,Small,0.92,101,0.6842105263157895
1,2,24.0,1,0,26.0,S,2,2,UNKNOWN,244367,6,6_24,1,20-30,20-30_Pclass_2,20-30,Small,48.0,78,0.625
1,3,26.0,0,0,7.925,S,1,1,STON/O,3101282,7,7_31,1,20-30,20-30_Pclass_3,0-10,Alone,78.0,324,0.21374045801526717
0,2,34.0,1,0,21.0,S,0,2,UNKNOWN,28664,5,5_28,0,30-40,30-40_Pclass_2,20-30,Small,68.0,78,0.625
1,1,21.0,2,2,262.375,C,1,5,PC,17608,5,5_17,1,20-30,20-30_Pclass_1,200+,Large,21.0,6,0.6
0,3,30.0,0,0,7.75,Q,0,1,UNKNOWN,384461,6,6_38,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,3,35.0,0,0,7.2292,C,2,1,UNKNOWN,2626,4,4_26,1,30-40,30-40_Pclass_3,0-10,Alone,105.0,324,0.21374045801526717
0,3,30.0,0,0,8.6625,S,0,1,UNKNOWN,315037,6,6_31,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,3,22.0,0,0,7.775,S,1,1,UNKNOWN,347085,6,6_34,1,20-30,20-30_Pclass_3,0-10,Alone,66.0,324,0.21374045801526717
1,1,62.0,0,0,80.0,missing,2,1,UNKNOWN,113572,6,6_11,1,60-70,60-70_Pclass_1,80-90,Alone,62.0,109,0.5365853658536586
1,3,18.0,0,0,9.8417,S,1,1,UNKNOWN,4138,4,4_41,1,<20,<20_Pclass_3,0-10,Alone,54.0,324,0.21374045801526717
1,1,42.0,0,0,227.525,C,1,1,PC,17757,5,5_17,1,40-50,40-50_Pclass_1,200+,Alone,42.0,109,0.5365853658536586
0,2,57.0,0,0,12.35,Q,0,1,UNKNOWN,219533,6,6_21,0,50-60,50-60_Pclass_2,10-20,Alone,114.0,104,0.36470588235294116
0,3,19.0,0,0,0.0,S,0,1,LINE,0,1,1_0,0,<20,<20_Pclass_3,0-10,Alone,57.0,324,0.21374045801526717
1,2,42.0,1,0,26.0,S,2,2,SC/AH,3085,4,4_30,1,40-50,40-50_Pclass_2,20-30,Small,84.0,78,0.625
0,3,30.0,0,0,7.225,C,0,1,UNKNOWN,2624,4,4_26,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,20.0,0,0,8.6625,S,1,1,UNKNOWN,315096,6,6_31,1,<20,<20_Pclass_3,0-10,Alone,60.0,324,0.21374045801526717
0,3,34.5,0,0,6.4375,C,0,1,UNKNOWN,2683,4,4_26,0,30-40,30-40_Pclass_3,0-10,Alone,103.5,324,0.21374045801526717
0,3,28.0,0,0,9.5,S,0,1,UNKNOWN,345783,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,84.0,324,0.21374045801526717
0,3,30.0,0,0,8.05,S,0,1,A/S,2816,4,4_28,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,23.0,0,0,7.8958,S,0,1,UNKNOWN,349204,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,69.0,324,0.21374045801526717
0,3,22.0,0,0,7.25,S,0,1,A/,21174,5,5_21,0,20-30,20-30_Pclass_3,0-10,Alone,66.0,324,0.21374045801526717
1,1,52.0,0,0,30.5,S,0,1,UNKNOWN,113786,6,6_11,0,50-60,50-60_Pclass_1,30-40,Alone,52.0,109,0.5365853658536586
1,3,30.0,0,0,12.475,S,1,1,UNKNOWN,364516,6,6_36,1,20-30,20-30_Pclass_3,10-20,Alone,90.0,324,0.21374045801526717
0,2,36.5,0,2,26.0,S,0,3,UNKNOWN,230080,6,6_23,0,30-40,30-40_Pclass_2,20-30,Small,73.0,78,0.625
0,3,30.0,0,0,7.75,Q,0,1,UNKNOWN,364851,6,6_36,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,22.0,0,0,7.2292,C,0,1,UNKNOWN,2669,4,4_26,0,20-30,20-30_Pclass_3,0-10,Alone,66.0,324,0.21374045801526717
1,1,50.0,2,0,133.65,S,0,3,PC,17611,5,5_17,0,40-50,40-50_Pclass_1,100-200,Small,50.0,101,0.6842105263157895
1,3,27.0,0,0,6.975,S,0,1,UNKNOWN,347089,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,81.0,324,0.21374045801526717
0,3,22.0,0,0,8.05,S,0,1,UNKNOWN,14973,5,5_14,0,20-30,20-30_Pclass_3,0-10,Alone,66.0,324,0.21374045801526717
1,1,51.0,1,0,77.9583,S,2,2,UNKNOWN,13502,5,5_13,1,50-60,50-60_Pclass_1,70-80,Small,51.0,101,0.6842105263157895
0,2,36.0,0,0,10.5,S,0,1,C.A.,17248,5,5_17,0,30-40,30-40_Pclass_2,10-20,Alone,72.0,104,0.36470588235294116
1,2,29.0,1,0,26.0,S,2,2,UNKNOWN,228414,6,6_22,1,20-30,20-30_Pclass_2,20-30,Small,58.0,78,0.625
1,1,22.0,0,0,151.55,S,1,1,UNKNOWN,113781,6,6_11,1,20-30,20-30_Pclass_1,100-200,Alone,22.0,109,0.5365853658536586
0,1,50.0,1,0,106.425,C,0,2,PC,17761,5,5_17,0,40-50,40-50_Pclass_1,100-200,Small,50.0,101,0.6842105263157895
1,2,40.0,0,0,13.0,S,1,1,UNKNOWN,31418,5,5_31,1,30-40,30-40_Pclass_2,10-20,Alone,80.0,104,0.36470588235294116
1,3,27.0,0,0,8.6625,S,0,1,UNKNOWN,315098,6,6_31,0,20-30,20-30_Pclass_3,0-10,Alone,81.0,324,0.21374045801526717
0,1,30.0,0,0,0.0,S,0,1,UNKNOWN,112052,6,6_11,0,20-30,20-30_Pclass_1,0-10,Alone,30.0,109,0.5365853658536586
0,1,65.0,0,0,26.55,S,0,1,UNKNOWN,13509,5,5_13,0,60-70,60-70_Pclass_1,20-30,Alone,65.0,109,0.5365853658536586
0,3,17.0,0,0,8.6625,S,0,1,UNKNOWN,315086,6,6_31,0,<20,<20_Pclass_3,0-10,Alone,51.0,324,0.21374045801526717
1,1,28.0,0,0,26.55,S,0,1,UNKNOWN,110564,6,6_11,0,20-30,20-30_Pclass_1,20-30,Alone,28.0,109,0.5365853658536586
1,1,4.0,0,2,81.8583,S,3,3,UNKNOWN,33638,5,5_33,0,<20,<20_Pclass_1,80-90,Small,4.0,101,0.6842105263157895
0,3,30.0,0,0,7.8958,S,0,1,UNKNOWN,349221,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,3,1.0,1,1,11.1333,S,1,3,UNKNOWN,347742,6,6_34,1,<20,<20_Pclass_3,10-20,Small,3.0,113,0.40217391304347827
0,2,36.0,1,2,27.75,S,0,4,C.A.,34651,5,5_34,0,30-40,30-40_Pclass_2,20-30,Small,72.0,78,0.625
0,2,43.0,1,1,26.25,S,0,3,F.C.C.,13529,5,5_13,0,40-50,40-50_Pclass_2,20-30,Small,86.0,78,0.625
0,1,38.0,0,1,153.4625,S,0,2,PC,17582,5,5_17,0,30-40,30-40_Pclass_1,100-200,Small,38.0,101,0.6842105263157895
1,2,31.0,1,1,26.25,S,2,3,C.A.,31921,5,5_31,1,30-40,30-40_Pclass_2,20-30,Small,62.0,78,0.625
0,3,29.0,0,0,8.05,S,0,1,UNKNOWN,343276,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,87.0,324,0.21374045801526717
0,3,18.0,0,0,8.3,S,0,1,UNKNOWN,2223,4,4_22,0,<20,<20_Pclass_3,0-10,Alone,54.0,324,0.21374045801526717
0,2,30.0,0,0,15.05,C,0,1,SC/PARIS,2131,4,4_21,0,20-30,20-30_Pclass_2,10-20,Alone,60.0,104,0.36470588235294116
1,1,39.0,1,1,110.8833,C,2,3,UNKNOWN,17421,5,5_17,1,30-40,30-40_Pclass_1,100-200,Small,39.0,101,0.6842105263157895
0,2,39.0,0,0,13.0,S,0,1,UNKNOWN,28213,5,5_28,0,30-40,30-40_Pclass_2,10-20,Alone,78.0,104,0.36470588235294116
0,3,26.0,2,0,8.6625,S,0,3,UNKNOWN,315151,6,6_31,0,20-30,20-30_Pclass_3,0-10,Small,78.0,113,0.40217391304347827
0,3,20.0,0,0,7.05,S,0,1,SOTON/O.Q.,3101307,7,7_31,0,<20,<20_Pclass_3,0-10,Alone,60.0,324,0.21374045801526717
1,1,35.0,1,0,133.65,S,2,2,PC,17611,5,5_17,1,30-40,30-40_Pclass_1,100-200,Small,35.0,101,0.6842105263157895
0,3,49.0,0,0,0.0,S,0,1,LINE,0,1,1_0,0,40-50,40-50_Pclass_3,0-10,Alone,147.0,324,0.21374045801526717
0,2,23.0,0,0,15.0458,C,0,1,SC/PARIS,2133,4,4_21,0,20-30,20-30_Pclass_2,10-20,Alone,46.0,104,0.36470588235294116
0,3,1.0,4,1,39.6875,S,3,6,UNKNOWN,3101295,7,7_31,0,<20,<20_Pclass_3,30-40,Large,3.0,54,0.06818181818181818
1,3,21.0,0,0,7.8792,Q,1,1,UNKNOWN,330959,6,6_33,1,20-30,20-30_Pclass_3,0-10,Alone,63.0,324,0.21374045801526717
0,3,30.0,1,2,23.45,S,0,4,W./C.,6607,4,4_66,0,20-30,20-30_Pclass_3,20-30,Small,90.0,113,0.40217391304347827
1,2,3.0,1,1,26.0,S,3,3,UNKNOWN,230080,6,6_23,0,<20,<20_Pclass_2,20-30,Small,6.0,78,0.625
1,3,4.0,1,1,11.1333,S,3,3,UNKNOWN,347742,6,6_34,0,<20,<20_Pclass_3,10-20,Small,12.0,113,0.40217391304347827
0,3,19.0,0,0,7.65,S,0,1,UNKNOWN,348124,6,6_34,0,<20,<20_Pclass_3,0-10,Alone,57.0,324,0.21374045801526717
0,3,40.5,0,0,7.75,Q,0,1,UNKNOWN,367232,6,6_36,0,40-50,40-50_Pclass_3,0-10,Alone,121.5,324,0.21374045801526717
1,3,1.0,0,2,15.7417,C,1,3,UNKNOWN,2653,4,4_26,1,<20,<20_Pclass_3,10-20,Small,3.0,113,0.40217391304347827
0,3,35.0,0,2,15.2458,C,2,3,UNKNOWN,2678,4,4_26,1,30-40,30-40_Pclass_3,10-20,Small,105.0,113,0.40217391304347827
0,3,21.0,0,0,7.925,S,0,1,STON/O,3101280,7,7_31,0,20-30,20-30_Pclass_3,0-10,Alone,63.0,324,0.21374045801526717
0,1,54.0,0,0,51.8625,S,0,1,UNKNOWN,17463,5,5_17,0,50-60,50-60_Pclass_1,50-60,Alone,54.0,109,0.5365853658536586
0,3,30.0,0,0,15.5,Q,0,1,UNKNOWN,36568,5,5_36,0,20-30,20-30_Pclass_3,10-20,Alone,90.0,324,0.21374045801526717
0,2,25.0,1,2,41.5792,C,0,4,SC/Paris,2123,4,4_21,0,20-30,20-30_Pclass_2,40-50,Small,50.0,78,0.625
0,3,26.0,1,0,14.4542,C,0,2,UNKNOWN,2680,4,4_26,0,20-30,20-30_Pclass_3,10-20,Small,78.0,113,0.40217391304347827
0,3,22.0,0,0,10.5167,S,1,1,UNKNOWN,7552,4,4_75,1,20-30,20-30_Pclass_3,10-20,Alone,66.0,324,0.21374045801526717
1,3,31.0,1,1,20.525,S,2,3,UNKNOWN,363291,6,6_36,1,30-40,30-40_Pclass_3,20-30,Small,93.0,113,0.40217391304347827
1,1,49.0,1,0,89.1042,C,0,2,UNKNOWN,17453,5,5_17,0,40-50,40-50_Pclass_1,80-90,Small,49.0,101,0.6842105263157895
0,2,19.0,1,1,36.75,S,0,3,C.A.,33112,5,5_33,0,<20,<20_Pclass_2,30-40,Small,38.0,78,0.625
0,2,24.0,0,0,10.5,S,0,1,C.A.,29566,5,5_29,0,20-30,20-30_Pclass_2,10-20,Alone,48.0,104,0.36470588235294116
1,3,16.0,0,0,8.05,S,0,1,SOTON/OQ,392089,6,6_39,0,<20,<20_Pclass_3,0-10,Alone,48.0,324,0.21374045801526717
1,1,25.0,1,0,55.4417,C,0,2,UNKNOWN,11765,5,5_11,0,20-30,20-30_Pclass_1,50-60,Small,25.0,101,0.6842105263157895
0,3,39.0,0,0,24.15,S,0,1,A/,48871,5,5_48,0,30-40,30-40_Pclass_3,20-30,Alone,117.0,324,0.21374045801526717
0,3,47.0,1,0,14.5,S,2,2,A/,3337,4,4_33,1,40-50,40-50_Pclass_3,10-20,Small,141.0,113,0.40217391304347827
0,1,60.0,0,0,26.55,S,0,1,UNKNOWN,113800,6,6_11,0,50-60,50-60_Pclass_1,20-30,Alone,60.0,109,0.5365853658536586
0,2,24.0,0,0,13.0,S,0,1,UNKNOWN,233866,6,6_23,0,20-30,20-30_Pclass_2,10-20,Alone,48.0,104,0.36470588235294116
0,1,30.0,0,0,50.0,S,0,1,UNKNOWN,113767,6,6_11,0,20-30,20-30_Pclass_1,50-60,Alone,30.0,109,0.5365853658536586
0,2,27.0,1,0,21.0,S,2,2,UNKNOWN,11668,5,5_11,1,20-30,20-30_Pclass_2,20-30,Small,54.0,78,0.625
1,2,30.0,0,0,13.8625,C,0,1,SC/PARIS,2146,4,4_21,0,20-30,20-30_Pclass_2,10-20,Alone,60.0,104,0.36470588235294116
0,3,38.0,0,0,7.8958,S,0,1,UNKNOWN,349249,6,6_34,0,30-40,30-40_Pclass_3,0-10,Alone,114.0,324,0.21374045801526717
0,3,44.0,0,0,8.05,S,0,1,UNKNOWN,364511,6,6_36,0,40-50,40-50_Pclass_3,0-10,Alone,132.0,324,0.21374045801526717
1,2,21.0,0,0,10.5,S,1,1,C.A.,31026,5,5_31,1,20-30,20-30_Pclass_2,10-20,Alone,42.0,104,0.36470588235294116
1,3,24.0,0,2,16.7,S,2,3,PP,9549,4,4_95,1,20-30,20-30_Pclass_3,10-20,Small,72.0,113,0.40217391304347827
1,2,45.0,0,0,13.5,S,2,1,UNKNOWN,223596,6,6_22,1,40-50,40-50_Pclass_2,10-20,Alone,90.0,104,0.36470588235294116
1,2,8.0,1,1,36.75,S,3,3,C.A.,33112,5,5_33,0,<20,<20_Pclass_2,30-40,Small,16.0,78,0.625
0,3,8.0,3,1,21.075,S,1,5,UNKNOWN,349909,6,6_34,1,<20,<20_Pclass_3,20-30,Large,24.0,54,0.06818181818181818
0,1,30.0,0,0,35.0,S,0,1,UNKNOWN,113510,6,6_11,0,20-30,20-30_Pclass_1,30-40,Alone,30.0,109,0.5365853658536586
1,3,32.0,0,0,8.05,S,0,1,SOTON/O.Q.,392078,6,6_39,0,30-40,30-40_Pclass_3,0-10,Alone,96.0,324,0.21374045801526717
0,1,50.0,1,0,55.9,S,0,2,UNKNOWN,13507,5,5_13,0,40-50,40-50_Pclass_1,50-60,Small,50.0,101,0.6842105263157895
0,3,21.0,0,0,7.8,S,0,1,A/,39886,5,5_39,0,20-30,20-30_Pclass_3,0-10,Alone,63.0,324,0.21374045801526717
1,2,50.0,0,0,10.5,S,1,1,W./C.,14258,5,5_14,1,40-50,40-50_Pclass_2,10-20,Alone,100.0,104,0.36470588235294116
0,3,23.0,0,0,7.925,S,1,1,STON/O,3101290,7,7_31,1,20-30,20-30_Pclass_3,0-10,Alone,69.0,324,0.21374045801526717
1,3,32.0,0,0,7.8542,S,0,1,UNKNOWN,350417,6,6_35,0,30-40,30-40_Pclass_3,0-10,Alone,96.0,324,0.21374045801526717
0,3,21.0,0,0,7.75,Q,1,1,UNKNOWN,382649,6,6_38,1,20-30,20-30_Pclass_3,0-10,Alone,63.0,324,0.21374045801526717
0,3,21.0,2,2,34.375,S,1,5,W./C.,6608,4,4_66,1,20-30,20-30_Pclass_3,30-40,Large,63.0,54,0.06818181818181818
0,3,30.0,0,0,7.75,Q,0,1,UNKNOWN,370377,6,6_37,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,25.0,0,0,7.225,C,0,1,UNKNOWN,2672,4,4_26,0,20-30,20-30_Pclass_3,0-10,Alone,75.0,324,0.21374045801526717
0,3,15.0,1,1,7.2292,C,0,3,UNKNOWN,2695,4,4_26,0,<20,<20_Pclass_3,0-10,Small,45.0,113,0.40217391304347827
0,3,31.0,1,0,18.0,S,2,2,UNKNOWN,345763,6,6_34,1,30-40,30-40_Pclass_3,10-20,Small,93.0,113,0.40217391304347827
0,2,25.0,0,0,13.0,S,0,1,UNKNOWN,234686,6,6_23,0,20-30,20-30_Pclass_2,10-20,Alone,50.0,104,0.36470588235294116
0,2,54.0,0,0,26.0,S,0,1,UNKNOWN,28403,5,5_28,0,50-60,50-60_Pclass_2,20-30,Alone,108.0,104,0.36470588235294116
0,1,28.0,0,0,47.1,S,0,1,UNKNOWN,113059,6,6_11,0,20-30,20-30_Pclass_1,40-50,Alone,28.0,109,0.5365853658536586
1,1,38.0,0,0,80.0,missing,1,1,UNKNOWN,113572,6,6_11,1,30-40,30-40_Pclass_1,80-90,Alone,38.0,109,0.5365853658536586
1,2,41.0,0,1,19.5,S,2,2,UNKNOWN,250644,6,6_25,1,40-50,40-50_Pclass_2,10-20,Small,82.0,78,0.625
0,3,33.0,0,0,8.6625,C,0,1,UNKNOWN,349239,6,6_34,0,30-40,30-40_Pclass_3,0-10,Alone,99.0,324,0.21374045801526717
0,2,52.0,0,0,13.5,S,0,1,UNKNOWN,248731,6,6_24,0,50-60,50-60_Pclass_2,10-20,Alone,104.0,104,0.36470588235294116
0,3,16.0,1,1,20.25,S,0,3,C.A.,2673,4,4_26,0,<20,<20_Pclass_3,20-30,Small,48.0,113,0.40217391304347827
0,3,20.0,0,0,8.05,S,0,1,A/,2151,4,4_21,0,<20,<20_Pclass_3,0-10,Alone,60.0,324,0.21374045801526717
0,3,9.0,4,2,31.3875,S,3,7,UNKNOWN,347077,6,6_34,0,<20,<20_Pclass_3,30-40,Large,27.0,54,0.06818181818181818
1,3,30.0,0,0,8.1125,S,0,1,UNKNOWN,65306,5,5_65,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,30.0,0,0,7.8292,Q,0,1,UNKNOWN,330979,6,6_33,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
0,3,30.0,0,0,7.8958,S,0,1,UNKNOWN,349234,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,90.0,324,0.21374045801526717
1,1,54.0,1,0,59.4,C,2,2,PC,17603,5,5_17,1,50-60,50-60_Pclass_1,50-60,Small,54.0,101,0.6842105263157895
0,3,26.0,0,0,7.8958,S,0,1,UNKNOWN,349224,6,6_34,0,20-30,20-30_Pclass_3,0-10,Alone,78.0,324,0.21374045801526717
1,1,60.0,1,1,79.2,C,0,3,UNKNOWN,13567,5,5_13,0,50-60,50-60_Pclass_1,70-80,Small,60.0,101,0.6842105263157895
1,3,30.0,0,0,56.4958,S,0,1,UNKNOWN,1601,4,4_16,0,20-30,20-30_Pclass_3,50-60,Alone,90.0,324,0.21374045801526717
1,1,44.0,0,1,57.9792,C,2,2,UNKNOWN,111361,6,6_11,1,40-50,40-50_Pclass_1,50-60,Small,44.0,101,0.6842105263157895
1,3,20.0,1,0,7.925,S,0,2,STON/O,3101285,7,7_31,0,<20,<20_Pclass_3,0-10,Small,60.0,113,0.40217391304347827
0,3,3.5,3,1,25.4667,S,3,5,UNKNOWN,4133,4,4_41,0,<20,<20_Pclass_3,20-30,Large,10.5,54,0.06818181818181818
0,2,16.0,0,0,10.5,S,0,1,S.O./P.P.,3,1,1_3,0,<20,<20_Pclass_2,10-20,Alone,32.0,104,0.36470588235294116
0,3,43.0,1,6,46.9,S,2,8,CA,2144,4,4_21,1,40-50,40-50_Pclass_3,40-50,Large,129.0,54,0.06818181818181818
0,3,17.0,0,0,8.6625,S,0,1,UNKNOWN,315093,6,6_31,0,<20,<20_Pclass_3,0-10,Alone,51.0,324,0.21374045801526717
